(4.000000000000005, 46)
(9.50000000000002, 46)
(14.00000000000002, 46)
(18.50000000000002, 46)
(23.500000000000014, 46)
(28.000000000000014, 46)
(33.00000000000001, 46)
(39.000000000000014, 25)
(44.50000000000001, 25)
(50.00000000000002, 23)
(56.50000000000002, 23)
(62.50000000000001, 22)
(68.00000000000001, 22)
(73.00000000000001, 21)
(78.00000000000001, 21)
(82.00000000000001, 22)
(87.00000000000001, 22)
(91.50000000000001, 22)
(96.00000000000001, 22)
(101.00000000000001, 18)
(106.50000000000001, 21)
(112.0, 21)
(117.50000000000001, 21)
(122.50000000000001, 20)
(128.0, 20)
(133.00000000000003, 22)
(138.5, 22)
(143.5, 19)
(148.50000000000003, 19)
(153.0, 21)
(158.00000000000003, 21)
(162.0, 21)
(166.50000000000003, 21)
(171.50000000000003, 20)
(176.5, 20)
(181.5, 21)
(187.50000000000003, 21)
(192.00000000000003, 21)
(196.50000000000003, 20)
(201.00000000000003, 20)
(205.50000000000003, 21)
(210.5, 21)
(216.50000000000003, 162)
(222.0, 162)
(227.0, 21)
(233.0, 22)
(237.49999999999997, 22)
(242.0, 21)
(246.00000000000003, 21)
(250.5, 21)
(255.49999999999997, 21)
(260.5, 200)
(266.0, 187)
(270.5, 187)
(274.5, 186)
(280.0, 186)
(284.5, 185)
(289.5, 185)
(294.00000000000006, 79)
(298.5, 79)
(303.0, 78)
(308.0, 78)
(312.00000000000006, 22)
(316.5, 22)
(322.0, 77)
(326.50000000000006, 77)
(331.0, 50)
(336.50000000000006, 48)
(340.5, 48)
(344.50000000000006, 47)
(349.0, 46)
(353.5, 46)
(358.0, 46)
